kelime,simdiki_pozisyon,bir_ay_once_pozisyon,degisim,gosterim_14g,tik_14g
"antetli kağıt baskı fiyatı",82.0,77.0,-5.0,1,0
"amerikan servis baskı matbaa",82.5,81.0,-1.5,2,0
"makbuz form baskı",82.5,84.0,+1.5,2,0
"makbuz form baskı matbaa",82.5,90.0,+7.5,2,0
"numune talebi",82.7,YENİ,-,6,0
"damla bayrak",83.0,YENİ,-,1,0
"baskılı el ilanı",85.0,YENİ,-,1,0
"sarı levhalar ne anlama gelir",85.0,YENİ,-,1,0
"fogra nedir",86.0,69.0,-17.0,2,0
"el afişi",87.0,YENİ,-,1,0
"zarf baskı matbaa",88.0,YENİ,-,1,0
"cepli dosya baskı fiyatları",88.5,YENİ,-,2,0
"el ilanı",89.1,YENİ,-,7,0
"broşür bastırma fiyatları",90.0,70.0,-20.0,2,0
"vinil branda mı yapışkanlı folyo mu",93.0,12.5,-80.5,1,0
"bazlama etiketi",93.3,83.0,-10.3,4,0
"el ilanı bastırma",93.5,YENİ,-,2,0
"el ilanı baskısı",96.0,YENİ,-,1,0
"iş güvenliği işaretleri",99.0,YENİ,-,2,0
"vinil branda baskı",111.0,YENİ,-,1,0
